freq_ghz,s11_db
1.900000,-5.9920
1.902500,-6.1255
1.905000,-6.2661
1.907500,-6.4141
1.910000,-6.5701
1.912500,-6.7345
1.915000,-6.9080
1.917500,-7.0911
1.920000,-7.2846
1.922500,-7.4891
1.925000,-7.7056
1.927500,-7.9348
1.930000,-8.1779
1.932500,-8.4358
1.935000,-8.7097
1.937500,-9.0011
1.940000,-9.3114
1.942500,-9.6422
1.945000,-9.9954
1.947500,-10.3732
1.950000,-10.7778
1.952500,-11.2119
1.955000,-11.6787
1.957500,-12.1815
1.960000,-12.7246
1.962500,-13.3127
1.965000,-13.9516
1.967500,-14.6480
1.970000,-15.4106
1.972500,-16.2499
1.975000,-17.1794
1.977500,-18.2170
1.980000,-19.3869
1.982500,-20.7236
1.985000,-22.2782
1.987500,-24.1317
1.990000,-26.4234
1.992500,-29.4232
1.995000,-33.7462
1.997500,-40.7712
2.000000,-40.5229
2.002500,-34.0218
2.005000,-30.1591
2.007500,-27.5697
2.010000,-25.6672
2.012500,-24.1915
2.015000,-23.0076
2.017500,-22.0364
2.020000,-21.2283
2.022500,-20.5498
2.025000,-19.9776
2.027500,-19.4946
2.030000,-19.0883
2.032500,-18.7491
2.035000,-18.4695
2.037500,-18.2438
2.040000,-18.0674
2.042500,-17.9366
2.045000,-17.8484
2.047500,-17.8003
2.050000,-17.7900
2.052500,-17.8154
2.055000,-17.8742
2.057500,-17.9642
2.060000,-18.0825
2.062500,-18.2258
2.065000,-18.3899
2.067500,-18.5699
2.070000,-18.7599
2.072500,-18.9531
2.075000,-19.1419
2.077500,-19.3181
2.080000,-19.4737
2.082500,-19.6009
2.085000,-19.6931
2.087500,-19.7456
2.090000,-19.7556
2.092500,-19.7227
2.095000,-19.6488
2.097500,-19.5375
2.100000,19.3936
2.102500,19.2229
2.105000,19.0310
2.107500,18.8234
2.110000,18.6053
2.112500,18.3808
2.115000,18.1538
2.117500,17.9271
2.120000,17.7031
2.122500,17.4836
2.125000,17.2700
2.127500,17.0633
2.130000,16.8642
2.132500,16.6731
2.135000,16.4902
2.137500,16.3158
2.140000,16.1498
2.142500,15.9921
2.145000,15.8427
2.147500,15.7013
2.150000,15.5678
2.152500,15.4419
2.155000,15.3235
2.157500,15.2123
2.160000,15.1080
2.162500,15.0105
2.165000,14.9195
2.167500,14.8349
2.170000,14.7563
2.172500,14.6837
2.175000,14.6168
2.177500,14.5555
2.180000,14.4995
2.182500,14.4488
2.185000,14.4032
2.187500,14.3625
2.190000,14.3267
2.192500,14.2955
2.195000,14.2689
2.197500,14.2468
2.200000,14.2291
2.202500,14.2157
2.205000,14.2065
2.207500,14.2015
2.210000,14.2005
2.212500,14.2035
2.215000,14.2105
2.217500,14.2213
2.220000,14.2360
2.222500,14.2545
2.225000,14.2768
2.227500,14.3027
2.230000,14.3324
2.232500,14.3657
2.235000,14.4026
2.237500,14.4431
2.240000,14.4872
2.242500,14.5349
2.245000,14.5861
2.247500,14.6408
2.250000,14.6991
2.252500,14.7608
2.255000,14.8260
2.257500,14.8947
2.260000,14.9668
2.262500,15.0424
2.265000,15.1213
2.267500,15.2036
2.270000,15.2893
2.272500,15.3783
2.275000,15.4705
2.277500,15.5660
2.280000,15.6647
2.282500,15.7666
2.285000,15.8715
2.287500,15.9793
2.290000,16.0901
2.292500,16.2037
2.295000,16.3199
2.297500,16.4387
2.300000,16.5599
2.302500,16.6833
2.305000,16.8087
2.307500,16.9359
2.310000,17.0647
2.312500,17.1947
2.315000,17.3257
2.317500,17.4573
2.320000,17.5892
2.322500,-17.7209
2.325000,-17.8520
2.327500,-17.9820
2.330000,-18.1105
2.332500,-18.2367
2.335000,-18.3602
2.337500,-18.4804
2.340000,-18.5966
2.342500,-18.7081
2.345000,-18.8144
2.347500,-18.9146
2.350000,-19.0082
2.352500,-19.0946
2.355000,-19.1730
2.357500,-19.2431
2.360000,-19.3041
2.362500,-19.3559
2.365000,-19.3978
2.367500,-19.4298
2.370000,-19.4517
2.372500,-19.4634
2.375000,-19.4649
2.377500,-19.4563
2.380000,-19.4380
2.382500,-19.4103
2.385000,-19.3736
2.387500,-19.3283
2.390000,-19.2751
2.392500,-19.2145
2.395000,-19.1472
2.397500,-19.0738
2.400000,-18.9951
2.402500,-18.9115
2.405000,-18.8240
2.407500,-18.7330
2.410000,-18.6392
2.412500,-18.5432
2.415000,-18.4456
2.417500,-18.3469
2.420000,-18.2476
2.422500,-18.1481
2.425000,-18.0489
2.427500,-17.9504
2.430000,-17.8529
2.432500,-17.7568
2.435000,-17.6624
2.437500,-17.5698
2.440000,-17.4794
2.442500,-17.3914
2.445000,-17.3060
2.447500,-17.2233
2.450000,-17.1435
2.452500,-17.0667
2.455000,-16.9932
2.457500,-16.9229
2.460000,-16.8559
2.462500,-16.7925
2.465000,-16.7326
2.467500,-16.6764
2.470000,-16.6239
2.472500,-16.5751
2.475000,-16.5302
2.477500,-16.4892
2.480000,-16.4521
2.482500,-16.4191
2.485000,-16.3901
2.487500,-16.3652
2.490000,-16.3445
2.492500,-16.3280
2.495000,-16.3159
2.497500,-16.3081
2.500000,-16.3047
2.502500,-16.3058
2.505000,-16.3114
2.507500,-16.3217
2.510000,-16.3367
2.512500,-16.3564
2.515000,-16.3811
2.517500,-16.4108
2.520000,-16.4455
2.522500,-16.4855
2.525000,-16.5307
2.527500,-16.5814
2.530000,-16.6377
2.532500,-16.6997
2.535000,-16.7676
2.537500,-16.8415
2.540000,-16.9216
2.542500,-17.0081
2.545000,-17.1012
2.547500,-17.2010
2.550000,-17.3079
2.552500,-17.4219
2.555000,-17.5434
2.557500,-17.6726
2.560000,-17.8097
2.562500,-17.9550
2.565000,-18.1088
2.567500,-18.2713
2.570000,-18.4428
2.572500,-18.6235
2.575000,-18.8137
2.577500,-19.0136
2.580000,-19.2233
2.582500,-19.4431
2.585000,-19.6730
2.587500,-19.9129
2.590000,-20.1627
2.592500,-20.4220
2.595000,-20.6904
2.597500,-20.9669
2.600000,-21.2504
2.602500,-21.5393
2.605000,-21.8312
2.607500,-22.1235
2.610000,-22.4123
2.612500,-22.6933
2.615000,-22.9608
2.617500,-23.2087
2.620000,-23.4296
2.622500,-23.6161
2.625000,-23.7607
2.627500,-23.8563
2.630000,-23.8977
2.632500,-23.8813
2.635000,-23.8062
2.637500,-23.6744
2.640000,-23.4899
2.642500,-23.2588
2.645000,-22.9884
2.647500,-22.6865
2.650000,-22.3607
2.652500,22.0180
2.655000,21.6645
2.657500,21.3056
2.660000,20.9457
2.662500,20.5881
2.665000,20.2355
2.667500,19.8902
2.670000,19.5535
2.672500,19.2265
2.675000,18.9101
2.677500,18.6046
2.680000,18.3103
2.682500,18.0273
2.685000,17.7555
2.687500,17.4949
2.690000,17.2452
2.692500,17.0061
2.695000,16.7774
2.697500,16.5588
2.700000,16.3499
2.702500,16.1504
2.705000,15.9600
2.707500,15.7783
2.710000,15.6051
2.712500,15.4399
2.715000,15.2825
2.717500,15.1326
2.720000,14.9899
2.722500,14.8541
2.725000,14.7250
2.727500,14.6023
2.730000,14.4857
2.732500,14.3751
2.735000,14.2703
2.737500,14.1709
2.740000,14.0769
2.742500,13.9880
2.745000,13.9041
2.747500,13.8250
2.750000,13.7505
2.752500,13.6806
2.755000,13.6150
2.757500,13.5537
2.760000,13.4965
2.762500,13.4433
2.765000,13.3940
2.767500,13.3486
2.770000,13.3068
2.772500,13.2687
2.775000,13.2342
2.777500,13.2032
2.780000,13.1756
2.782500,13.1514
2.785000,13.1305
2.787500,13.1129
2.790000,13.0986
2.792500,13.0875
2.795000,13.0796
2.797500,13.0749
2.800000,13.0734
2.802500,13.0751
2.805000,13.0800
2.807500,13.0881
2.810000,13.0994
2.812500,13.1140
2.815000,13.1320
2.817500,13.1533
2.820000,13.1780
2.822500,13.2063
2.825000,13.2383
2.827500,13.2739
2.830000,13.3134
2.832500,13.3569
2.835000,13.4046
2.837500,13.4566
2.840000,13.5131
2.842500,13.5745
2.845000,13.6408
2.847500,13.7125
2.850000,13.7898
2.852500,13.8731
2.855000,13.9629
2.857500,14.0595
2.860000,14.1636
2.862500,14.2756
2.865000,14.3963
2.867500,14.5264
2.870000,14.6668
2.872500,14.8184
2.875000,14.9823
2.877500,15.1597
2.880000,15.3523
2.882500,15.5615
2.885000,15.7894
2.887500,16.0382
2.890000,16.3107
2.892500,-16.6100
2.895000,-16.9400
2.897500,-17.3052
2.900000,-17.7113
