freq_ghz,s11_db
2.000000,-14.2478
2.002500,-14.3087
2.005000,-14.3688
2.007500,-14.4283
2.010000,-14.4877
2.012500,-14.5473
2.015000,-14.6074
2.017500,-14.6683
2.020000,-14.7305
2.022500,-14.7941
2.025000,-14.8594
2.027500,-14.9268
2.030000,-14.9965
2.032500,-15.0687
2.035000,-15.1437
2.037500,-15.2217
2.040000,-15.3029
2.042500,-15.3876
2.045000,-15.4758
2.047500,-15.5679
2.050000,-15.6639
2.052500,-15.7641
2.055000,-15.8685
2.057500,-15.9774
2.060000,-16.0909
2.062500,-16.2092
2.065000,-16.3322
2.067500,-16.4603
2.070000,-16.5935
2.072500,-16.7319
2.075000,-16.8756
2.077500,-17.0248
2.080000,-17.1795
2.082500,-17.3398
2.085000,-17.5059
2.087500,-17.6778
2.090000,-17.8557
2.092500,-18.0395
2.095000,-18.2294
2.097500,-18.4255
2.100000,-18.6279
2.102500,-18.8365
2.105000,-19.0515
2.107500,-19.2730
2.110000,-19.5010
2.112500,-19.7356
2.115000,-19.9768
2.117500,-20.2246
2.120000,-20.4793
2.122500,-20.7407
2.125000,-21.0089
2.127500,-21.2841
2.130000,-21.5661
2.132500,-21.8551
2.135000,-22.1510
2.137500,-22.4540
2.140000,-22.7639
2.142500,-23.0808
2.145000,-23.4047
2.147500,-23.7355
2.150000,-24.0731
2.152500,-24.4175
2.155000,-24.7685
2.157500,-25.1260
2.160000,-25.4896
2.162500,-25.8593
2.165000,-26.2345
2.167500,-26.6148
2.170000,-26.9997
2.172500,-27.3884
2.175000,-27.7802
2.177500,-28.1740
2.180000,-28.5686
2.182500,-28.9626
2.185000,-29.3544
2.187500,-29.7419
2.190000,-30.1230
2.192500,-30.4953
2.195000,-30.8560
2.197500,31.2021
2.200000,31.5307
2.202500,31.8386
2.205000,32.1227
2.207500,32.3803
2.210000,32.6090
2.212500,32.8068
2.215000,32.9725
2.217500,33.1057
2.220000,33.2067
2.222500,33.2766
2.225000,33.3171
2.227500,33.3305
2.230000,33.3196
2.232500,33.2874
2.235000,33.2368
2.237500,33.1708
2.240000,33.0925
2.242500,33.0044
2.245000,32.9091
2.247500,32.8085
2.250000,32.7048
2.252500,32.5994
2.255000,32.4939
2.257500,32.3892
2.260000,32.2864
2.262500,32.1863
2.265000,32.0895
2.267500,31.9965
2.270000,31.9077
2.272500,31.8234
